$,$,$
Montrappoli United,6669,37
Montrappoli United,6646,54
Montrappoli United,6485,12
Montrappoli United,6434,220
Montrappoli United,6417,1
Montrappoli United,6252,27
Montrappoli United,5850,25
Montrappoli United,5833,20
Montrappoli United,5637,50
Montrappoli United,5559,33
Montrappoli United,4896,24
Montrappoli United,4502,15
Montrappoli United,4378,16
Montrappoli United,2816,53
Montrappoli United,2814,50
Montrappoli United,2137,119
Montrappoli United,1870,55
Montrappoli United,632,206
Montrappoli United,254,94
$,$,$
Real Gurgugnao,7017,30
Real Gurgugnao,5812,13
Real Gurgugnao,5513,107
Real Gurgugnao,5422,25
Real Gurgugnao,5295,9
Real Gurgugnao,4892,40
Real Gurgugnao,4871,337
Real Gurgugnao,4711,7
Real Gurgugnao,4431,71
Real Gurgugnao,4409,32
Real Gurgugnao,4401,16
Real Gurgugnao,4374,11
Real Gurgugnao,4220,63
Real Gurgugnao,2531,120
Real Gurgugnao,2297,1
Real Gurgugnao,1852,10
Real Gurgugnao,791,11
Real Gurgugnao,770,13
Real Gurgugnao,536,65
Real Gurgugnao,4,1
$,$,$
Atletico Terronya,7133,36
Atletico Terronya,7070,26
Atletico Terronya,6435,148
Atletico Terronya,6042,21
Atletico Terronya,5876,84
Atletico Terronya,5858,23
Atletico Terronya,5835,23
Atletico Terronya,5735,13
Atletico Terronya,5734,153
Atletico Terronya,5589,41
Atletico Terronya,5514,20
Atletico Terronya,5022,21
Atletico Terronya,2788,50
Atletico Terronya,2489,35
Atletico Terronya,1930,1
Atletico Terronya,827,50
Atletico Terronya,787,15
Atletico Terronya,393,18
Atletico Terronya,218,2
$,$,$
Montescarsini,7261,1
Montescarsini,7181,52
Montescarsini,7131,9
Montescarsini,6966,35
Montescarsini,6398,38
Montescarsini,6217,20
Montescarsini,6060,47
Montescarsini,6052,186
Montescarsini,5888,28
Montescarsini,5851,17
Montescarsini,5784,14
Montescarsini,5687,39
Montescarsini,5520,56
Montescarsini,5500,13
Montescarsini,5273,39
Montescarsini,4976,28
Montescarsini,4728,135
Montescarsini,4159,20
Montescarsini,2809,1
Montescarsini,2167,218
Montescarsini,2097,364
$,$,$
La Scella Rossa,7146,23
La Scella Rossa,7129,18
La Scella Rossa,7023,70
La Scella Rossa,6908,32
La Scella Rossa,6869,13
La Scella Rossa,6832,8
La Scella Rossa,6815,13
La Scella Rossa,6572,128
La Scella Rossa,5885,44
La Scella Rossa,5862,27
La Scella Rossa,5844,22
La Scella Rossa,5820,11
La Scella Rossa,4994,13
La Scella Rossa,4777,208
La Scella Rossa,2845,1
La Scella Rossa,2593,32
La Scella Rossa,2379,145
La Scella Rossa,2170,10
La Scella Rossa,572,93
La Scella Rossa,294,5
$,$,$
ForzaOrbenia85,6956,40
ForzaOrbenia85,6496,5
ForzaOrbenia85,5995,142
ForzaOrbenia85,5792,42
ForzaOrbenia85,5620,43
ForzaOrbenia85,5526,24
ForzaOrbenia85,5453,22
ForzaOrbenia85,4887,51
ForzaOrbenia85,4734,21
ForzaOrbenia85,4510,210
ForzaOrbenia85,4210,21
ForzaOrbenia85,2765,67
ForzaOrbenia85,2528,10
ForzaOrbenia85,2521,58
ForzaOrbenia85,2499,55
ForzaOrbenia85,2423,218
ForzaOrbenia85,313,78
ForzaOrbenia85,158,1
$,$,$
MammA S Di Rabiot,7175,17
MammA S Di Rabiot,7145,9
MammA S Di Rabiot,6967,60
MammA S Di Rabiot,6884,81
MammA S Di Rabiot,6875,132
MammA S Di Rabiot,6814,11
MammA S Di Rabiot,6813,1
MammA S Di Rabiot,6666,36
MammA S Di Rabiot,6664,21
MammA S Di Rabiot,6660,2
MammA S Di Rabiot,5562,57
MammA S Di Rabiot,5544,266
MammA S Di Rabiot,4923,41
MammA S Di Rabiot,4427,19
MammA S Di Rabiot,4312,77
MammA S Di Rabiot,4199,21
MammA S Di Rabiot,2815,1
MammA S Di Rabiot,2745,8
MammA S Di Rabiot,2296,30
MammA S Di Rabiot,2160,83
MammA S Di Rabiot,1933,30
MammA S Di Rabiot,531,144
$,$,$
Deportivo Aperitivo,7169,1
Deportivo Aperitivo,7071,16
Deportivo Aperitivo,6989,2
Deportivo Aperitivo,6766,14
Deportivo Aperitivo,5841,83
Deportivo Aperitivo,5831,13
Deportivo Aperitivo,4463,66
Deportivo Aperitivo,4461,13
Deportivo Aperitivo,4287,24
Deportivo Aperitivo,2764,373
Deportivo Aperitivo,2724,42
Deportivo Aperitivo,2640,15
Deportivo Aperitivo,2606,42
Deportivo Aperitivo,2120,76
Deportivo Aperitivo,2077,28
Deportivo Aperitivo,2061,27
Deportivo Aperitivo,610,1
