$,$,$
Riparatori P-C,4431,0
Riparatori P-C,2170,0
Riparatori P-C,254,0
Riparatori P-C,2788,0
Riparatori P-C,5022,0
Riparatori P-C,6832,0
Riparatori P-C,6893,0
Riparatori P-C,1852,0
Riparatori P-C,5526,0
Riparatori P-C,6217,0
Riparatori P-C,6875,0
Riparatori P-C,4777,0
Riparatori P-C,7126,0
Riparatori P-C,2194,0
Riparatori P-C,2423,0
Riparatori P-C,3010,0
Riparatori P-C,4871,0
Riparatori P-C,6052,0
Riparatori P-C,7017,0
Riparatori P-C,6434,0
Riparatori P-C,531,0
$,$,$
Riparatori D,5841,0
Riparatori D,6966,0
Riparatori D,4312,0
Riparatori D,2296,0
Riparatori D,5750,0
Riparatori D,4976,0
Riparatori D,4657,0
Riparatori D,7181,0
Riparatori D,6956,0
Riparatori D,2379,0
Riparatori D,2517,0
Riparatori D,5559,0
Riparatori D,152,0
Riparatori D,6908,0
Riparatori D,2167,0
Riparatori D,2766,0
Riparatori D,1870,0
Riparatori D,5585,0
Riparatori D,6435,0
Riparatori D,5637,0
Riparatori D,2137,0
Riparatori D,505,0
Riparatori D,7071,0
$,$,$
Riparatori P-D-C,5876,0
Riparatori P-D-C,2134,0
Riparatori P-D-C,554,0
Riparatori P-D-C,5513,0
Riparatori P-D-C,4317,0
Riparatori P-D-C,2160,0
Riparatori P-D-C,5514,0
Riparatori P-D-C,6766,0
Riparatori P-D-C,4409,0
Riparatori P-D-C,4973,0
Riparatori P-D-C,6884,0
Riparatori P-D-C,2606,0
Riparatori P-D-C,1933,0
Riparatori P-D-C,6717,0
Riparatori P-D-C,5687,0
Riparatori P-D-C,6060,0
Riparatori P-D-C,6669,0
Riparatori P-D-C,4510,0
Riparatori P-D-C,5734,0
Riparatori P-D-C,7023,0
Riparatori P-D-C,4728,0
$,$,$
Riparatori A,2428,0
Riparatori A,4360,0
Riparatori A,4957,0
Riparatori A,5862,0
Riparatori A,4159,0
Riparatori A,6485,0
Riparatori A,7211,0
Riparatori A,5678,0
Riparatori A,4734,0
Riparatori A,4994,0
Riparatori A,6867,0
Riparatori A,6151,0
Riparatori A,2077,0
Riparatori A,4404,0
Riparatori A,827,0
Riparatori A,7351,0
Riparatori A,7133,0
Riparatori A,4465,0
Riparatori A,7070,0
