$,$,$
Team A (needs P),4431,0
Team A (needs P),2170,0
Team A (needs P),254,0
Team A (needs P),2788,0
Team A (needs P),5022,0
Team A (needs P),6832,0
Team A (needs P),6893,0
Team A (needs P),1852,0
Team A (needs P),5526,0
Team A (needs P),6217,0
Team A (needs P),6875,0
Team A (needs P),4777,0
Team A (needs P),7126,0
Team A (needs P),2194,0
Team A (needs P),2423,0
Team A (needs P),2379,0
Team A (needs P),2517,0
Team A (needs P),5559,0
Team A (needs P),3010,0
Team A (needs P),4871,0
Team A (needs P),6052,0
Team A (needs P),7017,0
Team A (needs P),6434,0
Team A (needs P),531,0
$,$,$
Team B (needs D),5841,0
Team B (needs D),6966,0
Team B (needs D),4312,0
Team B (needs D),2296,0
Team B (needs D),5750,0
Team B (needs D),4976,0
Team B (needs D),4657,0
Team B (needs D),7181,0
Team B (needs D),6956,0
Team B (needs D),2120,0
Team B (needs D),152,0
Team B (needs D),6908,0
Team B (needs D),2167,0
Team B (needs D),2766,0
Team B (needs D),1870,0
Team B (needs D),4973,0
Team B (needs D),6884,0
Team B (needs D),2606,0
Team B (needs D),5585,0
Team B (needs D),6435,0
Team B (needs D),5637,0
Team B (needs D),2137,0
Team B (needs D),505,0
Team B (needs D),7071,0
$,$,$
Team C (needs C),5876,0
Team C (needs C),2134,0
Team C (needs C),2428,0
Team C (needs C),4807,0
Team C (needs C),6986,0
Team C (needs C),4159,0
Team C (needs C),554,0
Team C (needs C),5513,0
Team C (needs C),4317,0
Team C (needs C),2160,0
Team C (needs C),5514,0
Team C (needs C),1933,0
Team C (needs C),6717,0
Team C (needs C),5687,0
Team C (needs C),6151,0
Team C (needs C),2077,0
Team C (needs C),4404,0
Team C (needs C),827,0
Team C (needs C),2061,0
Team C (needs C),6060,0
Team C (needs C),6669,0
Team C (needs C),4510,0
Team C (needs C),5734,0
Team C (needs C),7023,0
$,$,$
Team D (needs A),4360,0
Team D (needs A),761,0
Team D (needs A),2521,0
Team D (needs A),6766,0
Team D (needs A),4409,0
Team D (needs A),5862,0
Team D (needs A),6485,0
Team D (needs A),7211,0
Team D (needs A),5678,0
Team D (needs A),4734,0
Team D (needs A),4994,0
Team D (needs A),7351,0
Team D (needs A),7133,0
Team D (needs A),4465,0
Team D (needs A),7070,0
Team D (needs A),6875,0
Team D (needs A),4777,0
Team D (needs A),7126,0
Team D (needs A),2194,0
Team D (needs A),4728,0
Team D (needs A),3010,0
Team D (needs A),4871,0
Team D (needs A),6052,0
Team D (needs A),7017,0
