$,$,$
Team A (needs D, Expensive),4431,0
Team A (needs D, Expensive),5841,0
Team A (needs D, Expensive),6966,0
Team A (needs D, Expensive),254,0
Team A (needs D, Expensive),2788,0
Team A (needs D, Expensive),5022,0
Team A (needs D, Expensive),6832,0
Team A (needs D, Expensive),2296,0
Team A (needs D, Expensive),4976,0
Team A (needs D, Expensive),6875,0
Team A (needs D, Expensive),4777,0
Team A (needs D, Expensive),2194,0
Team A (needs D, Expensive),2379,0
Team A (needs D, Expensive),2167,0
Team A (needs D, Expensive),2766,0
Team A (needs D, Expensive),5687,0
Team A (needs D, Expensive),4973,0
Team A (needs D, Expensive),3010,0
Team A (needs D, Expensive),4871,0
Team A (needs D, Expensive),6052,0
Team A (needs D, Expensive),7017,0
Team A (needs D, Expensive),6434,0
Team A (needs D, Expensive),5585,0
$,$,$
Team B (needs D, Cheap),4957,0
Team B (needs D, Cheap),761,0
Team B (needs D, Cheap),6462,0
Team B (needs D, Cheap),5678,0
Team B (needs D, Cheap),7211,0
Team B (needs D, Cheap),4657,0
Team B (needs D, Cheap),4994,0
Team B (needs D, Cheap),6867,0
Team B (needs D, Cheap),6893,0
Team B (needs D, Cheap),4404,0
Team B (needs D, Cheap),7133,0
Team B (needs D, Cheap),7070,0
Team B (needs D, Cheap),4465,0
Team B (needs D, Cheap),6151,0
Team B (needs D, Cheap),827,0
Team B (needs D, Cheap),1870,0
Team B (needs D, Cheap),1933,0
Team B (needs D, Cheap),6669,0
Team B (needs D, Cheap),505,0
Team B (needs D, Cheap),7071,0
Team B (needs D, Cheap),4728,0
Team B (needs D, Cheap),4510,0
Team B (needs D, Cheap),5734,0
$,$,$
Team C (needs D, Medium),2170,0
Team C (needs D, Medium),4312,0
Team C (needs D, Medium),5876,0
Team C (needs D, Medium),1852,0
Team C (needs D, Medium),5526,0
Team C (needs D, Medium),6217,0
Team C (needs D, Medium),5750,0
Team C (needs D, Medium),7181,0
Team C (needs D, Medium),6956,0
Team C (needs D, Medium),7126,0
Team C (needs D, Medium),2423,0
Team C (needs D, Medium),2517,0
Team C (needs D, Medium),5559,0
Team C (needs D, Medium),152,0
Team C (needs D, Medium),6908,0
Team C (needs D, Medium),6884,0
Team C (needs D, Medium),2606,0
Team C (needs D, Medium),531,0
Team C (needs D, Medium),6435,0
Team C (needs D, Medium),5637,0
Team C (needs D, Medium),2137,0
Team C (needs D, Medium),2061,0
Team C (needs D, Medium),6060,0
