$,$,$
Team A (Complete),4431,0
Team A (Complete),2170,0
Team A (Complete),5841,0
Team A (Complete),254,0
Team A (Complete),2788,0
Team A (Complete),5022,0
Team A (Complete),6832,0
Team A (Complete),6893,0
Team A (Complete),1852,0
Team A (Complete),5526,0
Team A (Complete),6217,0
Team A (Complete),6875,0
Team A (Complete),4777,0
Team A (Complete),7126,0
Team A (Complete),2194,0
Team A (Complete),2423,0
Team A (Complete),2379,0
Team A (Complete),2517,0
Team A (Complete),5559,0
Team A (Complete),3010,0
Team A (Complete),4871,0
Team A (Complete),6052,0
Team A (Complete),7017,0
Team A (Complete),6434,0
Team A (Complete),531,0
$,$,$
Team B (needs C),5841,0
Team B (needs C),6966,0
Team B (needs C),4312,0
Team B (needs C),2296,0
Team B (needs C),5750,0
Team B (needs C),4976,0
Team B (needs C),4657,0
Team B (needs C),7181,0
Team B (needs C),6956,0
Team B (needs C),2120,0
Team B (needs C),4807,0
Team B (needs C),6908,0
Team B (needs C),2167,0
Team B (needs C),2766,0
Team B (needs C),1870,0
Team B (needs C),4973,0
Team B (needs C),6884,0
Team B (needs C),5585,0
Team B (needs C),6435,0
Team B (needs C),5637,0
Team B (needs C),2137,0
Team B (needs C),505,0
Team B (needs C),7071,0
Team B (needs C),2061,0
$,$,$
Team C (Complete),5876,0
Team C (Complete),2134,0
Team C (Complete),2428,0
Team C (Complete),4807,0
Team C (Complete),6986,0
Team C (Complete),4159,0
Team C (Complete),554,0
Team C (Complete),5513,0
Team C (Complete),4317,0
Team C (Complete),2160,0
Team C (Complete),5514,0
Team C (Complete),6766,0
Team C (Complete),4409,0
Team C (Complete),1933,0
Team C (Complete),6717,0
Team C (Complete),5687,0
Team C (Complete),6151,0
Team C (Complete),2077,0
Team C (Complete),4404,0
Team C (Complete),827,0
Team C (Complete),2061,0
Team C (Complete),6060,0
Team C (Complete),6669,0
Team C (Complete),4510,0
Team C (Complete),5734,0
$,$,$
Team D (needs D),4360,0
Team D (needs D),761,0
Team D (needs D),2521,0
Team D (needs D),6766,0
Team D (needs D),4409,0
Team D (needs D),5862,0
Team D (needs D),6485,0
Team D (needs D),7211,0
Team D (needs D),5678,0
Team D (needs D),7351,0
Team D (needs D),7133,0
Team D (needs D),4465,0
Team D (needs D),7070,0
Team D (needs D),6875,0
Team D (needs D),4777,0
Team D (needs D),7126,0
Team D (needs D),2194,0
Team D (needs D),2423,0
Team D (needs D),4728,0
Team D (needs D),3010,0
Team D (needs D),4871,0
Team D (needs D),6052,0
Team D (needs D),7017,0
Team D (needs D),6434,0
