$,$,$
Team A (needs P and A),4431,0
Team A (needs P and A),2170,0
Team A (needs P and A),254,0
Team A (needs P and A),2788,0
Team A (needs P and A),5022,0
Team A (needs P and A),6832,0
Team A (needs P and A),6893,0
Team A (needs P and A),1852,0
Team A (needs P and A),5526,0
Team A (needs P and A),6217,0
Team A (needs P and A),6875,0
Team A (needs P and A),4777,0
Team A (needs P and A),7126,0
Team A (needs P and A),2194,0
Team A (needs P and A),2423,0
Team A (needs P and A),2379,0
Team A (needs P and A),2517,0
Team A (needs P and A),5559,0
Team A (needs P and A),3010,0
Team A (needs P and A),4871,0
Team A (needs P and A),6052,0
$,$,$
Team B (needs D and A),5841,0
Team B (needs D and A),6966,0
Team B (needs D and A),4312,0
Team B (needs D and A),2296,0
Team B (needs D and A),5750,0
Team B (needs D and A),4976,0
Team B (needs D and A),4657,0
Team B (needs D and A),7181,0
Team B (needs D and A),6956,0
Team B (needs D and A),152,0
Team B (needs D and A),6908,0
Team B (needs D and A),2167,0
Team B (needs D and A),2766,0
Team B (needs D and A),1870,0
Team B (needs D and A),4973,0
Team B (needs D and A),6884,0
Team B (needs D and A),2606,0
Team B (needs D and A),5585,0
Team B (needs D and A),6435,0
Team B (needs D and A),5637,0
Team B (needs D and A),2137,0
$,$,$
Team C (needs C and A),5876,0
Team C (needs C and A),2134,0
Team C (needs C and A),2428,0
Team C (needs C and A),4807,0
Team C (needs C and A),6986,0
Team C (needs C and A),4159,0
Team C (needs C and A),554,0
Team C (needs C and A),5513,0
Team C (needs C and A),4317,0
Team C (needs C and A),2160,0
Team C (needs C and A),5514,0
Team C (needs C and A),6766,0
Team C (needs C and A),1933,0
Team C (needs C and A),6717,0
Team C (needs C and A),5687,0
Team C (needs C and A),6151,0
Team C (needs C and A),2077,0
Team C (needs C and A),6060,0
Team C (needs C and A),6669,0
Team C (needs C and A),4510,0
Team C (needs C and A),5734,0
